area	height	readout	fwhm
1.140	15.743	18	26
0.772	12.228	12	60
1.083	22.366	11	28
1.292	36.315	13	23
1.287	10.923	14	87
0.555	15.411	11	27
0.879	35.221	17	23
0.110	6.943	16	15
1.109	21.194	18	34
0.639	15.243	15	39
1.512	48.399	16	27
0.440	18.831	18	22
1.242	23.485	14	23
1.342	32.745	11	37
1.239	18.468	13	22
1.645	31.730	14	41
1.013	27.983	18	23
0.698	15.463	13	44
1.501	39.867	16	20
1.120	21.538	16	29
1.318	50.779	13	24
0.160	8.462	15	18
1.195	15.339	14	73
0.154	6.458	16	24
0.637	16.735	18	20
0.418	12.090	12	33
1.131	43.600	15	23
1.704	50.599	11	26
1.397	24.883	14	22
1.308	21.952	15	24
1.071	24.363	18	23
1.190	29.700	15	30
1.141	23.374	13	39
1.267	24.659	11	28
0.103	6.991	15	12
0.870	25.792	11	23
0.102	7.334	16	11
0.079	6.039	18	11
0.926	21.159	18	23
0.107	6.968	18	14
1.441	32.591	15	49
0.398	8.371	16	36
0.093	6.398	18	13
1.289	26.190	16	33
0.116	7.374	12	13
0.126	7.969	17	15
1.193	18.467	17	31
0.142	8.060	12	16
1.413	24.983	11	50
1.221	26.125	11	29
1.256	25.536	16	24
1.165	26.042	14	47
1.310	37.456	15	22
0.957	16.020	17	24
0.135	7.245	16	17
1.171	21.926	11	25
0.243	9.939	15	22
0.850	25.661	15	29
0.122	8.081	14	13
0.119	8.577	14	12
0.119	7.421	14	14
1.249	23.221	18	26
1.419	35.631	17	22
1.772	39.951	16	41
1.027	21.717	17	38
1.250	19.600	14	69
0.099	6.030	18	15
1.382	26.134	11	26
0.896	27.988	13	28
1.191	32.064	16	39
0.144	8.437	16	15
0.892	34.313	17	23
0.831	23.656	15	29
0.393	15.154	14	25
0.459	15.914	13	26
1.223	27.324	13	23
1.077	19.353	17	24
1.367	19.278	12	30
1.418	27.148	13	23
0.098	7.022	16	12
0.571	11.645	15	49
1.532	25.354	11	60
0.093	6.985	15	12
0.924	15.716	15	29
1.264	20.131	13	47
1.107	38.676	11	25
1.428	29.141	12	31
0.135	7.913	12	16
0.098	6.301	15	13
0.986	14.806	14	50
1.331	28.465	16	32
0.963	24.207	12	38
0.094	7.488	15	10
1.172	20.946	15	24
0.912	23.373	13	25
0.079	5.858	18	13
0.137	7.987	11	15
0.102	7.373	17	12
0.130	8.712	11	13
1.269	17.015	12	28
1.156	41.430	15	24
1.151	34.335	16	29
1.210	27.495	13	22
0.741	25.493	12	27
0.101	6.384	17	15
1.220	20.757	12	36
0.219	8.429	11	17
0.711	22.768	13	30
1.333	52.611	13	24
1.020	16.342	17	53
1.434	20.059	18	29
0.111	7.255	16	14
1.418	54.454	16	22
1.562	28.219	13	24
0.081	6.503	15	11
0.116	6.457	17	16
0.126	6.591	15	18
1.078	24.803	18	40
1.521	36.317	17	38
0.608	27.255	16	20
0.117	8.677	17	12
1.094	26.855	12	27
1.252	36.064	15	32
1.443	30.890	12	31
1.335	24.872	18	33
0.110	7.648	16	12
1.048	32.965	15	28
0.107	6.864	17	14
1.125	22.505	14	30
0.105	6.812	17	14
1.271	15.659	12	41
1.384	34.897	12	30
0.128	7.735	17	15
1.166	23.703	14	62
0.133	7.191	18	17
0.224	9.789	13	20
0.190	7.081	15	24
0.178	8.279	13	20
0.512	18.641	16	25
0.383	13.180	13	20
1.149	19.633	11	33
0.905	18.939	16	21
1.439	60.015	13	22
0.881	27.788	13	27
1.532	51.584	16	26
0.484	14.780	17	28
1.523	26.418	15	35
0.299	6.991	17	22
1.088	23.068	15	25
0.468	19.955	18	20
0.517	19.910	17	24
1.364	32.090	13	28
1.445	27.159	15	26
0.108	7.803	16	13
1.096	30.553	11	23
0.937	35.022	18	25
0.111	6.791	12	14
1.430	30.686	13	48
1.115	31.795	13	32
1.036	24.609	13	31
1.105	37.708	11	27
1.026	38.629	14	24
1.001	35.198	14	26
0.181	6.984	18	12
0.132	6.881	17	18
1.091	20.065	18	34
1.121	18.393	17	26
1.343	22.560	17	32
1.229	20.207	17	32
0.829	22.779	17	30
1.199	20.535	13	32
0.094	6.994	15	12
0.909	22.121	17	34
1.294	24.925	13	23
1.390	55.720	11	23
1.449	43.388	16	30
1.425	42.869	11	28
0.135	7.455	17	17
1.490	39.712	16	32
1.141	33.763	16	32
1.249	16.480	11	39
0.123	7.728	17	14
1.244	18.162	16	35
1.274	21.842	12	25
1.303	30.486	15	24
1.401	28.986	11	28
1.303	40.627	11	28
1.199	16.933	17	66
1.484	29.466	13	33
1.134	38.830	13	26
0.094	6.833	12	12
1.039	24.532	14	37
1.262	50.243	11	24
0.106	6.579	15	14
0.118	8.373	16	12
1.061	25.592	16	38
1.111	19.101	14	29
0.122	7.724	11	14
0.997	29.219	12	27
0.965	28.170	14	32
0.084	7.208	12	10
0.805	26.458	18	25
0.129	7.262	18	16
1.182	35.586	11	23
1.319	50.272	11	23
1.377	48.282	13	26
0.151	7.987	15	17
2.592	33.299	11	32
0.788	15.930	17	48
1.160	31.012	13	20
1.245	46.294	16	24
1.159	26.102	18	24
1.029	45.012	17	22
1.237	51.135	12	23
1.249	15.950	13	56
0.137	7.316	14	16
0.094	6.520	16	13
0.834	21.682	11	29
0.304	8.792	18	22
0.857	27.512	18	28
0.995	34.275	13	27
0.156	8.840	11	16
1.092	33.515	14	22
1.039	13.503	15	48
1.129	34.067	15	23
1.181	39.406	13	27
0.116	6.957	15	16
1.311	46.730	12	26
0.711	16.582	14	42
1.239	29.321	18	30
0.938	32.341	11	24
0.996	32.802	12	25
0.519	23.132	13	20
1.476	30.766	16	25
0.636	10.803	18	41
0.147	7.582	18	17
1.323	23.580	13	33
1.275	11.856	17	55
0.113	7.076	16	14
1.189	24.693	13	46
1.518	44.885	16	21
1.080	33.145	18	30
0.090	6.663	12	11
1.143	23.873	17	27
1.183	31.771	16	34
0.145	8.344	13	16
1.456	34.175	16	21
0.784	29.981	17	24
0.128	8.036	15	14
0.925	16.792	17	31
1.419	32.835	11	27
1.353	27.154	13	32
1.222	24.665	14	34
1.092	24.565	17	29
0.411	10.191	14	32
0.989	11.448	15	28
0.685	19.777	15	27
0.832	13.990	15	22
1.293	27.877	13	31
0.411	10.772	12	45
0.364	12.690	17	25
0.828	24.695	12	30
1.175	27.623	11	32
2.404	48.701	11	67
0.875	15.103	16	41
0.901	19.919	14	50
0.117	6.806	16	14
0.101	6.230	17	15
0.470	18.787	18	22
1.246	23.923	13	27
1.349	44.411	13	26
0.099	7.091	18	12
0.531	17.634	16	24
0.104	7.104	18	12
2.607	49.229	11	34
1.421	25.606	14	27
1.308	49.068	15	24
0.549	25.857	14	19
0.216	9.233	17	14
0.840	33.327	11	23
0.179	6.442	15	19
1.265	23.471	11	40
0.177	6.783	17	24
1.619	49.574	11	22
0.957	18.070	16	29
0.686	21.824	15	30
0.383	10.503	14	36
1.114	25.042	15	25
1.335	38.045	13	22
1.525	47.177	14	25
1.432	58.788	11	23
0.107	6.720	16	15
1.254	17.717	18	39
0.108	7.621	16	12
0.997	20.426	18	48
0.184	9.559	16	17
1.224	33.007	11	34
0.988	28.032	14	33
0.902	14.612	13	41
0.955	25.245	11	35
1.174	25.836	14	25
0.109	6.576	16	14
1.298	44.777	15	27
0.731	19.267	15	59
0.164	8.407	15	15
1.366	18.683	14	67
1.311	29.774	17	26
1.234	21.406	17	60
0.584	23.044	17	23
1.687	33.129	11	24
1.336	33.497	17	24
1.378	58.615	14	22
1.359	47.107	16	22
0.555	9.793	16	37
1.270	32.492	14	24
0.125	8.187	17	13
0.186	7.450	15	24
1.284	20.845	13	29
1.361	25.472	16	26
1.366	21.875	11	54
0.746	20.399	13	24
0.453	11.274	15	40
1.299	39.946	18	25
1.515	32.268	13	21
1.058	17.060	18	47
0.749	17.144	16	47
0.091	7.561	16	10
1.463	55.457	16	24
1.553	24.840	13	29
0.452	14.079	16	27
0.921	24.339	11	29
0.795	9.227	11	55
1.200	46.538	17	22
1.302	14.196	11	30
1.316	24.285	14	30
1.215	16.621	17	30
0.799	27.474	16	24
1.070	19.590	12	38
0.129	8.430	14	13
0.114	6.641	18	16
1.116	21.667	15	48
1.192	17.972	11	32
0.643	17.662	11	37
0.595	15.807	18	32
1.282	27.174	14	26
1.288	26.562	15	26
1.201	37.051	16	29
0.728	21.052	14	26
0.259	9.029	18	24
0.472	15.985	18	26
0.638	20.227	17	30
0.491	21.810	11	20
1.366	21.483	15	45
1.576	27.637	11	43
1.562	32.364	11	28
1.400	22.368	13	34
1.404	39.846	11	22
1.250	47.786	11	24
0.407	17.562	13	20
1.596	34.638	11	24
0.983	25.618	12	24
1.508	31.469	18	28
0.865	33.508	18	24
1.063	21.489	11	24
0.812	32.755	16	23
1.125	20.959	13	61
1.134	22.983	17	31
1.288	33.456	11	30
0.815	15.362	18	55
1.215	17.701	16	33
0.929	30.848	11	20
0.872	15.984	11	33
1.267	33.022	16	36
0.961	18.061	12	57
0.893	15.256	12	33
1.161	30.761	12	22
0.530	14.169	16	32
1.409	23.769	18	41
1.191	43.680	12	25
0.870	25.823	17	30
1.340	32.014	13	29
1.309	50.558	11	24
0.561	16.380	14	28
1.406	44.096	17	23
0.536	12.019	12	46
0.809	24.244	12	31
0.711	20.511	16	32
0.275	11.405	11	24
2.389	27.231	15	37
1.062	27.810	18	30
0.147	6.183	17	23
0.535	23.229	13	19
1.268	45.409	11	22
1.114	38.626	14	27
1.041	16.364	14	37
0.788	7.327	16	75
0.084	6.705	17	10
0.755	32.647	18	22
0.130	7.804	16	14
1.118	27.450	14	27
1.269	41.513	15	24
0.629	19.130	14	30
0.924	18.183	15	56
1.044	18.837	18	23
0.385	12.320	14	27
0.101	6.446	15	14
0.121	7.026	14	15
1.192	16.469	16	45
1.241	19.214	16	29
0.980	12.457	15	35
1.225	29.524	13	26
1.359	37.411	11	33
0.834	17.648	18	43
0.098	7.416	12	11
1.118	33.122	14	30
1.074	34.321	15	27
0.134	7.728	16	16
1.294	27.592	11	22
0.893	25.302	15	20
1.178	25.166	16	22
1.381	38.789	14	29
0.133	8.066	17	14
0.136	8.999	16	14
1.214	32.852	11	25
1.280	29.968	12	31
1.192	26.467	16	38
1.188	44.842	15	24
1.120	35.378	14	28
0.113	9.075	11	11
1.461	21.192	11	34
1.154	39.813	16	26
0.104	6.721	17	13
0.101	6.395	15	14
1.328	33.396	11	39
1.098	31.309	16	33
1.396	26.473	18	24
0.105	6.836	17	13
0.902	21.389	18	37
0.940	14.801	15	35
0.105	8.395	13	11
0.116	6.685	16	16
1.200	33.927	13	25
0.606	13.700	17	46
1.342	26.136	17	57
0.995	28.693	18	21
0.980	12.233	13	47
0.899	27.381	14	30
1.119	33.495	11	20
1.339	31.458	14	29
1.044	27.419	17	30
1.171	30.796	12	24
0.674	10.218	16	27
0.107	7.791	18	13
0.107	7.458	17	13
0.233	9.030	13	18
0.408	7.862	15	16
0.121	7.175	17	16
0.986	10.253	11	98
0.466	10.110	12	28
0.226	8.880	16	20
0.751	32.474	13	22
1.319	28.321	16	28
1.646	20.237	13	35
0.672	15.024	15	26
1.227	21.014	16	29
0.197	7.353	18	21
0.122	7.330	12	15
1.148	17.069	18	23
0.985	27.934	11	31
0.944	32.508	18	26
0.123	7.729	14	14
1.169	16.719	14	22
0.616	25.119	12	21
1.332	25.498	18	29
0.617	25.567	15	22
0.901	29.869	15	28
1.222	27.269	15	31
1.283	25.893	16	26
1.206	26.772	13	53
2.249	37.255	17	34
0.245	10.784	13	21
0.805	10.392	14	57
1.029	16.986	15	54
1.309	19.159	11	41
0.382	11.205	11	41
1.081	39.388	15	24
1.317	35.082	16	37
1.082	18.366	13	61
1.366	20.598	15	36
0.939	28.099	13	29
1.430	35.147	18	25
1.164	26.185	17	31
0.854	23.598	18	30
0.189	8.655	11	21
1.026	25.103	14	34
0.813	30.876	17	24
0.690	19.445	16	29
0.134	9.106	11	13
0.150	7.811	17	18
0.111	7.902	13	12
0.140	7.683	18	17
0.124	7.323	12	16
0.117	7.636	13	14
1.127	13.279	17	68
0.147	8.648	14	14
0.953	16.725	15	24
1.229	26.849	15	29
0.147	8.518	11	15
1.436	18.441	18	55
0.979	21.158	18	19
1.006	23.399	17	22
1.362	18.617	14	41
1.263	26.086	18	24
2.019	77.233	16	22
0.876	24.319	12	32
0.962	22.844	16	21
1.471	40.741	12	21
1.418	20.108	11	35
1.655	28.204	12	25
1.213	24.078	13	51
1.373	27.840	11	33
1.063	29.466	13	34
0.394	12.181	15	30
0.610	18.319	14	26
0.567	19.063	17	27
0.129	6.745	12	17
0.122	7.673	15	15
1.457	27.340	11	55
1.177	31.996	11	33
0.819	18.431	15	42
1.349	11.238	13	27
0.121	7.380	12	16
0.908	25.580	14	34
0.151	7.998	16	18
0.152	7.337	16	20
0.159	7.920	18	14
1.306	27.020	15	25
1.287	34.048	13	28
0.083	6.106	18	13
1.127	24.866	17	53
1.589	41.504	11	22
0.393	18.733	11	20
0.229	11.317	13	19
0.464	20.144	11	22
0.419	16.545	11	23
0.620	14.022	14	20
0.734	21.308	17	27
0.269	10.224	13	26
0.196	7.939	18	22
0.413	10.480	13	25
1.450	24.671	16	24
0.771	17.876	15	37
0.962	26.723	12	31
0.130	8.458	14	12
0.463	9.720	12	29
1.595	28.523	13	32
1.703	57.775	16	25
0.681	23.911	14	24
1.259	27.531	11	27
1.451	45.019	13	23
0.116	6.735	18	16
1.679	48.911	11	27
1.355	34.890	15	31
1.816	66.829	11	22
1.121	16.786	16	33
1.741	59.992	11	23
0.101	6.431	17	15
0.947	14.513	14	24
1.170	29.048	13	25
1.251	24.057	11	51
1.127	28.151	11	35
1.438	49.049	12	23
0.112	8.164	16	12
1.001	26.435	17	45
0.996	20.706	11	26
0.772	17.548	13	30
1.446	24.337	16	28
1.032	13.383	15	28
1.074	18.096	15	66
1.387	19.108	17	37
0.140	8.164	16	14
1.074	28.677	14	34
1.101	18.311	15	31
0.097	6.053	18	15
2.064	80.367	14	21
0.996	13.660	12	29
1.469	19.510	13	43
0.140	8.907	13	13
0.603	17.263	17	27
1.101	21.438	18	22
1.487	33.660	15	23
0.990	27.744	12	34
1.160	39.940	14	26
1.187	22.793	18	40
0.136	7.518	16	16
0.889	17.436	13	24
0.615	21.835	12	22
0.840	24.335	16	31
0.937	21.540	14	43
1.085	28.465	13	31
0.084	6.312	17	12
0.945	19.825	14	49
1.220	21.194	13	40
0.120	7.371	18	15
1.616	27.258	18	25
0.082	6.045	17	9
0.120	6.987	17	15
1.223	23.038	11	49
0.101	7.398	14	12
0.585	21.131	13	26
1.209	35.439	17	31
0.442	13.008	15	30
0.757	24.866	14	29
0.564	15.902	16	33
1.043	20.346	14	31
1.062	24.901	11	42
1.685	53.780	16	27
1.434	45.906	16	29
0.942	30.679	13	25
0.137	8.072	15	15
1.238	20.614	16	27
1.408	37.384	16	24
0.122	7.673	14	12
1.170	26.322	17	24
1.319	36.615	12	26
1.251	30.612	13	39
1.215	24.481	17	26
1.151	49.505	16	22
0.124	7.952	12	14
0.118	7.403	14	14
0.119	7.153	14	15
0.094	6.927	12	10
1.107	13.631	11	53
0.695	18.179	13	31
0.098	8.420	13	10
0.300	6.922	16	45
0.756	20.255	15	32
0.123	7.217	15	16
1.319	39.601	11	32
0.124	7.354	17	16
0.129	8.273	16	14
0.679	22.681	15	27
1.014	29.180	16	28
1.017	24.644	14	38
0.543	19.312	18	25
1.313	27.781	16	24
0.125	7.208	12	16
0.152	9.066	18	14
1.283	22.825	13	39
1.358	18.277	13	30
1.024	29.543	17	27
1.159	26.383	14	21
0.821	21.787	18	35
1.031	17.203	14	59
0.124	7.077	17	16
1.638	56.207	11	23
0.964	20.738	15	49
1.351	47.250	12	25
1.167	22.055	15	30
1.207	19.067	16	31
1.045	13.554	18	28
0.903	13.755	13	29
0.814	21.079	11	34
0.868	16.429	18	61
1.382	23.537	17	31
1.273	34.506	13	24
0.863	37.319	14	21
1.020	38.899	17	24
1.185	36.319	17	30
0.146	8.183	11	17
1.074	40.513	14	24
1.205	36.204	16	31
0.123	8.405	14	13
0.475	18.809	17	22
0.478	15.754	18	25
1.311	30.502	16	39
1.479	49.486	11	28
1.122	20.614	11	23
1.657	27.573	11	29
1.131	26.491	14	44
0.112	6.908	15	14
1.221	26.202	18	25
1.185	21.581	15	31
0.143	7.958	13	16
1.611	41.123	16	32
1.426	51.580	14	23
1.299	25.125	14	50
1.367	24.007	11	41
0.801	24.280	12	28
1.642	32.974	16	37
1.112	24.283	12	27
0.776	13.504	13	58
1.350	44.526	14	27
1.448	29.420	11	40
1.265	18.584	11	33
1.318	23.940	12	24
0.101	6.093	18	16
1.203	36.369	13	29
0.795	33.985	14	22
1.429	23.314	11	46
1.346	22.325	13	36
1.103	22.189	17	28
1.536	49.820	13	24
1.443	29.329	16	24
1.134	19.685	12	79
1.715	26.329	13	26
0.129	7.425	16	16
1.288	20.118	14	40
0.879	23.073	16	30
1.089	22.835	18	26
0.955	24.087	18	27
0.100	6.804	15	13
0.550	23.009	14	22
1.185	13.999	18	26
1.000	15.564	16	31
1.132	27.382	13	37
0.141	7.980	12	16
1.226	23.109	12	29
0.141	8.083	16	16
0.148	8.054	12	16
0.102	7.568	15	12
0.288	10.145	17	14
0.805	18.306	15	38
1.317	23.062	13	41
0.113	7.207	17	14
1.233	13.723	17	52
1.851	68.137	15	22
0.087	7.274	13	10
1.245	50.795	11	23
1.209	20.500	16	54
1.042	12.694	15	29
1.030	16.285	16	36
1.259	21.573	15	27
1.211	22.391	17	42
0.992	26.924	14	24
0.434	17.305	17	24
0.121	6.649	16	18
1.097	25.963	18	38
1.006	29.158	18	29
1.402	35.728	11	28
1.230	45.121	18	22
1.672	57.403	13	27
0.647	17.930	13	33
0.817	17.203	18	54
0.268	9.069	17	13
1.303	25.233	18	24
1.116	24.948	13	26
0.141	7.610	18	17
1.293	20.698	13	23
1.233	31.302	16	26
1.428	21.122	13	30
0.770	24.673	18	21
0.118	8.875	13	11
1.356	20.205	15	76
1.009	18.216	15	32
0.177	9.556	11	17
1.258	22.529	14	30
0.172	9.684	11	14
0.969	24.544	12	30
0.978	20.122	18	24
1.161	25.941	13	44
0.154	7.605	18	17
0.596	23.927	17	23
1.043	12.083	15	55
1.588	28.963	12	26
1.955	56.078	11	29
0.140	9.058	15	15
1.467	26.375	11	30
1.369	31.236	15	41
0.112	7.596	16	13
0.800	26.040	15	28
0.109	6.129	18	16
1.152	29.838	15	25
0.507	17.708	13	22
1.142	31.332	13	22
1.402	46.729	16	26
0.112	8.194	13	12
1.477	34.295	15	21
1.254	29.968	16	22
0.648	28.263	14	22
0.949	10.427	13	92
1.138	28.490	11	38
0.107	6.619	18	15
1.127	18.281	18	29
1.329	20.914	12	47
0.969	18.421	13	55
0.189	10.408	13	15
0.456	16.027	15	26
1.643	30.037	12	32
1.284	32.345	13	19
1.235	32.992	14	35
1.143	30.801	13	36
1.303	24.111	11	25
1.164	32.633	15	24
0.836	20.488	16	40
1.261	42.057	15	23
1.448	52.669	11	23
1.062	17.470	15	29
1.151	37.142	14	28
1.246	30.882	14	45
1.368	30.799	14	36
1.149	20.158	18	30
0.099	7.465	13	12
1.283	22.789	11	70
1.296	36.023	14	22
0.804	26.389	14	26
1.005	33.689	14	28
1.075	21.573	12	27
1.250	20.803	18	27
0.121	6.829	18	15
1.611	44.626	16	25
1.142	29.252	16	36
0.128	7.465	17	16
1.303	21.339	13	44
0.079	6.559	17	10
0.134	8.106	11	16
1.012	30.123	15	28
0.087	6.126	18	12
0.120	5.783	18	20
0.139	8.698	13	14
1.407	35.527	11	26
1.396	41.945	17	32
0.836	33.032	11	24
0.315	12.444	12	18
1.284	26.394	12	36
1.113	15.014	13	34
0.094	7.171	14	11
1.276	35.289	13	27
0.399	9.535	17	44
1.559	51.220	11	27
0.628	15.180	13	39
1.335	47.142	16	23
1.529	56.206	16	23
0.537	10.209	11	18
1.105	33.776	18	30
1.370	21.499	16	33
0.134	7.194	14	18
0.146	8.226	13	15
0.167	8.436	11	18
1.439	28.494	17	26
1.406	29.614	15	38
0.131	7.999	16	15
0.131	7.873	13	12
1.313	30.804	11	26
1.133	23.839	17	33
0.779	10.791	18	54
1.329	51.943	13	24
0.604	25.281	18	23
1.460	23.702	15	25
1.281	29.188	12	26
0.751	33.075	12	21
1.171	38.954	17	22
1.419	21.893	15	29
1.098	18.620	15	25
0.794	24.134	12	29
0.786	15.721	11	49
1.142	23.232	17	32
1.236	21.243	11	25
0.249	11.180	14	21
0.252	7.059	16	51
0.144	6.961	16	18
1.492	29.531	18	27
1.115	36.609	18	28
0.477	17.343	13	26
0.733	14.773	18	27
1.108	19.583	14	42
1.243	36.533	18	23
1.227	24.254	17	25
0.129	8.563	13	14
0.120	7.688	15	13
1.585	25.379	16	40
1.169	40.805	15	25
1.135	25.929	12	48
0.567	13.563	14	36
0.645	26.431	14	22
0.112	6.593	18	16
1.443	29.148	15	23
0.095	6.213	18	13
1.513	32.945	16	63
1.394	47.311	13	26
1.089	22.710	18	28
0.897	22.706	13	29
1.140	41.352	15	24
0.129	7.383	17	16
0.132	7.654	15	15
0.163	7.601	15	20
1.700	57.084	11	28
1.040	15.250	18	26
1.283	49.086	11	22
1.243	23.660	12	26
1.234	16.925	16	49
1.382	41.266	14	24
0.915	22.464	13	39
1.161	31.115	13	29
1.300	53.056	18	22
0.693	18.536	16	24
0.576	19.162	11	26
1.051	20.121	18	27
1.459	23.168	16	37
1.342	18.825	17	43
0.093	6.423	15	10
0.873	27.192	17	29
0.125	7.773	13	12
0.969	20.955	16	46
1.207	28.412	13	36
0.212	7.278	12	47
1.084	25.815	16	23
1.425	37.915	16	30
0.650	22.671	16	26
0.542	23.863	17	20
1.165	15.811	16	22
1.215	40.689	12	22
1.533	17.646	16	50
1.101	36.618	18	26
1.162	19.123	12	48
0.132	7.769	11	15
0.131	6.507	18	18
0.093	6.386	18	13
1.095	29.439	14	36
1.121	43.527	15	23
0.936	27.080	13	35
0.671	24.574	13	24
1.189	22.185	16	24
1.188	34.043	11	24
0.738	24.453	13	27
1.324	21.130	12	25
0.376	12.718	12	27
1.432	27.463	16	27
0.097	7.124	17	12
1.297	25.289	17	29
1.219	17.491	11	30
1.280	37.404	14	30
1.062	38.225	13	23
0.121	6.922	15	15
1.593	19.977	16	39
0.939	19.848	15	48
0.958	27.804	15	32
1.205	37.518	14	26
1.391	30.724	18	24
1.160	16.094	18	50
0.176	8.788	14	18
0.261	10.209	18	24
1.018	22.116	16	51
0.101	7.143	15	12
1.058	19.095	13	36
0.804	26.952	17	28
0.108	7.918	15	12
0.073	6.017	17	11
0.104	7.034	16	13
0.315	10.040	18	32
0.101	7.491	14	12
0.593	13.247	16	41
1.300	24.428	16	36
1.417	49.491	13	23
1.254	24.807	11	37
1.140	29.145	16	40
1.160	21.668	18	23
1.211	38.747	15	24
1.103	36.283	17	27
1.240	20.687	11	35
1.790	39.739	18	44
1.000	27.671	17	32
1.443	41.685	14	24
1.370	39.882	18	27
1.225	32.982	16	34
0.118	7.982	14	13
1.279	36.424	15	33
1.136	21.242	18	24
0.088	7.058	14	11
1.110	22.882	17	58
1.709	42.709	16	44
0.099	6.449	15	13
1.221	20.248	17	36
1.518	36.311	12	21
0.911	41.043	12	21
1.415	34.443	11	28
0.135	7.439	16	17
1.389	28.790	13	28
1.229	24.137	13	28
0.106	6.961	15	13
0.120	8.583	11	12
1.357	22.067	12	25
0.121	7.866	16	13
1.084	23.716	18	27
1.194	24.105	12	65
1.077	19.290	14	62
1.042	17.597	16	32
0.968	19.627	16	50
0.149	6.961	18	14
0.781	15.302	18	45
1.450	33.342	18	23
1.379	28.363	16	24
0.150	9.049	13	16
1.219	17.050	16	38
0.883	18.783	15	32
1.543	43.467	11	21
0.716	13.503	18	62
1.125	14.728	15	47
1.271	41.742	12	28
1.766	53.986	16	26
1.549	31.774	13	59
0.095	6.487	18	13
0.723	13.038	17	57
0.295	6.091	18	44
1.396	32.373	13	51
0.994	19.180	17	61
1.147	29.891	14	25
1.353	25.233	13	23
1.157	16.172	13	95
1.156	37.157	11	24
1.181	31.292	16	27
0.656	22.122	17	23
0.414	12.479	18	27
1.577	60.606	17	23
0.968	31.570	12	29
